Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
54,No,Travel_Rarely,'Research & Development',5,College,Medical,Low,Male,High,Executive,'Research Director',Low,Married,19406,No,11,Excellent,High,Level2,24,Medium,4,2,1,2
34,No,Non-Travel,Sales,4,Master,Marketing,High,Female,High,Professional,'Sales Executive',High,Married,6538,No,15,Excellent,Low,Level2,6,High,3,2,1,2
31,No,Travel_Rarely,'Research & Development',7,College,Medical,Medium,Female,High,Professional,'Manufacturing Director',Low,Married,4306,No,12,Excellent,Medium,Level2,13,Low,13,10,3,12
43,No,Travel_Frequently,'Research & Development',21,Bachelor,Medical,VeryHigh,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,2258,No,20,Outstanding,Low,Level2,8,High,3,2,1,2
43,No,Travel_Rarely,'Research & Development',8,Master,Other,High,Female,High,Professional,'Healthcare Representative',High,Divorced,4522,Yes,14,Excellent,VeryHigh,Level1,8,High,5,2,0,2
25,No,Travel_Rarely,Sales,4,College,'Life Sciences',Medium,Female,Medium,Professional,'Sales Executive',VeryHigh,Single,4487,Yes,11,Excellent,Medium,Level1,5,High,5,4,1,3
37,No,Non-Travel,'Research & Development',25,Doctor,Medical,Medium,Female,High,Professional,'Research Scientist',High,Married,4449,Yes,15,Excellent,Low,Level3,15,High,13,11,10,7
31,No,Travel_Rarely,'Research & Development',1,College,'Life Sciences',VeryHigh,Male,Medium,AssociateProfessional,'Laboratory Technician',Low,Married,2218,No,12,Excellent,High,Level2,4,High,4,2,3,2
39,No,Travel_Frequently,'Research & Development',1,BelowCollege,'Life Sciences',Medium,Male,High,Executive,Manager,High,Divorced,19197,Yes,14,Excellent,High,Level2,21,High,21,8,1,6
56,No,Travel_Frequently,Sales,6,Bachelor,'Life Sciences',High,Female,VeryHigh,Manager,'Sales Executive',Low,Married,13212,No,11,Excellent,VeryHigh,Level4,36,Medium,7,7,7,7
30,No,Travel_Rarely,Sales,12,Bachelor,'Technical Degree',Medium,Female,High,Professional,'Sales Executive',High,Single,6577,No,11,Excellent,Medium,Level1,6,High,5,4,4,4
41,No,Travel_Rarely,Sales,1,Bachelor,Marketing,Medium,Male,VeryHigh,AssociateManager,'Sales Executive',Low,Married,8392,No,16,Excellent,High,Level2,10,High,10,7,0,7
28,No,Travel_Rarely,'Research & Development',17,College,Medical,High,Male,High,Professional,'Laboratory Technician',Low,Divorced,4558,No,12,Excellent,VeryHigh,Level2,10,High,10,0,1,8
25,Yes,Travel_Rarely,'Research & Development',3,Bachelor,Medical,Low,Male,High,AssociateProfessional,'Laboratory Technician',Low,Married,4031,No,13,Excellent,High,Level2,6,High,2,2,0,2
52,No,Travel_Rarely,'Research & Development',3,Bachelor,Medical,VeryHigh,Male,Medium,AssociateManager,'Manufacturing Director',High,Married,7969,Yes,14,Excellent,High,Level1,28,High,5,4,0,4
45,No,Travel_Rarely,'Research & Development',10,College,'Life Sciences',Low,Male,High,AssociateProfessional,'Research Scientist',VeryHigh,Married,2654,No,21,Outstanding,VeryHigh,Level3,8,Medium,2,2,0,2
52,No,Travel_Rarely,'Research & Development',4,College,'Life Sciences',VeryHigh,Female,High,Manager,Manager,VeryHigh,Married,16555,No,13,Excellent,VeryHigh,Level1,31,Low,5,2,1,4
42,No,Travel_Frequently,'Research & Development',29,College,'Life Sciences',Low,Female,High,Professional,'Research Scientist',High,Divorced,4556,No,11,Excellent,Medium,Level2,19,High,5,4,0,2
30,No,Travel_Rarely,'Research & Development',2,Bachelor,'Life Sciences',High,Female,Low,Professional,'Manufacturing Director',VeryHigh,Single,6091,No,20,Outstanding,High,Level1,11,High,5,4,0,2
60,No,Travel_Rarely,'Research & Development',7,Bachelor,'Life Sciences',Low,Female,High,Executive,Manager,Low,Married,19566,No,11,Excellent,VeryHigh,Level1,33,Low,29,8,11,10
46,No,Travel_Rarely,'Research & Development',18,Bachelor,Medical,High,Female,High,Professional,'Manufacturing Director',High,Divorced,4810,No,14,Excellent,High,Level2,19,Medium,10,7,0,8
42,No,Travel_Frequently,'Research & Development',28,Master,'Technical Degree',VeryHigh,Female,Medium,Professional,'Healthcare Representative',VeryHigh,Married,4523,No,11,Excellent,VeryHigh,Level4,7,VeryHigh,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,BelowCollege,'Technical Degree',Low,Female,High,AssociateProfessional,'Sales Representative',Medium,Single,3202,Yes,16,Excellent,Medium,Level1,6,High,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,College,Marketing,VeryHigh,Female,Low,AssociateProfessional,'Sales Representative',High,Divorced,2351,No,16,Excellent,VeryHigh,Level2,3,Medium,2,2,1,0
38,No,Travel_Frequently,'Research & Development',2,College,'Life Sciences',VeryHigh,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,1702,Yes,23,Outstanding,High,Level2,1,High,1,0,0,0
40,No,Travel_Rarely,Sales,2,Master,'Life Sciences',High,Female,High,Executive,Manager,High,Married,18041,No,14,Excellent,VeryHigh,Level1,21,High,20,15,1,12
26,No,Travel_Rarely,'Research & Development',23,Bachelor,'Life Sciences',Low,Female,High,AssociateProfessional,'Research Scientist',VeryHigh,Divorced,2886,No,22,Outstanding,Medium,Level3,3,Low,3,2,0,2
30,No,Non-Travel,'Research & Development',3,Bachelor,'Life Sciences',High,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,2097,No,15,Excellent,High,Level2,9,Low,5,3,1,4
29,No,Travel_Rarely,'Research & Development',3,Master,Medical,Medium,Male,Medium,AssociateManager,'Research Director',High,Married,11935,No,18,Excellent,High,Level1,10,High,10,2,0,7
29,Yes,Travel_Rarely,'Research & Development',25,Doctor,'Technical Degree',High,Female,Medium,AssociateProfessional,'Research Scientist',Medium,Married,2546,No,16,Excellent,Medium,Level1,6,VeryHigh,2,2,1,1
19,Yes,Travel_Rarely,'Human Resources',2,College,'Technical Degree',Low,Male,Medium,AssociateProfessional,'Human Resources',VeryHigh,Single,2564,No,12,Excellent,High,Level1,1,VeryHigh,1,0,0,0
30,No,Non-Travel,Sales,22,Master,Other,High,Female,High,AssociateManager,'Sales Executive',Low,Married,8412,No,11,Excellent,High,Level1,10,High,9,8,7,8
57,No,Travel_Rarely,Sales,29,Bachelor,Marketing,Low,Male,Medium,Manager,Manager,VeryHigh,Divorced,14118,No,12,Excellent,High,Level2,32,Medium,1,0,0,0
50,No,Travel_Rarely,'Research & Development',29,Master,'Life Sciences',Medium,Male,Medium,Manager,Manager,High,Married,17046,No,15,Excellent,Medium,Level2,28,High,27,10,15,7
30,No,Non-Travel,'Research & Development',2,Bachelor,Medical,High,Female,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Single,2564,No,14,Excellent,High,Level1,12,Medium,11,7,6,7
60,No,Travel_Frequently,Sales,28,Bachelor,Marketing,High,Female,Medium,AssociateManager,'Sales Executive',Low,Married,10266,No,19,Excellent,VeryHigh,Level1,22,VeryHigh,18,13,13,11
47,No,Travel_Rarely,'Research & Development',2,College,Medical,Low,Female,High,Professional,'Manufacturing Director',VeryHigh,Divorced,5070,No,13,Excellent,High,Level4,20,High,5,0,0,4
46,No,Travel_Rarely,'Research & Development',2,Bachelor,'Life Sciences',Low,Male,High,Manager,'Research Director',High,Married,17861,No,13,Excellent,High,Level1,26,Low,3,2,0,1
35,No,Travel_Rarely,'Research & Development',22,Bachelor,'Life Sciences',VeryHigh,Male,Low,AssociateProfessional,'Laboratory Technician',High,Single,4230,No,15,Excellent,High,Level1,6,High,5,4,4,3
54,No,Travel_Rarely,'Research & Development',8,Master,'Life Sciences',High,Female,High,Professional,'Laboratory Technician',High,Single,3780,No,11,Excellent,High,Level1,19,High,1,0,0,0
34,No,Travel_Rarely,'Research & Development',2,Master,'Life Sciences',VeryHigh,Male,Medium,AssociateProfessional,'Research Scientist',High,Divorced,2768,No,12,Excellent,High,Level2,14,High,7,3,5,7
46,No,Travel_Rarely,Sales,10,Bachelor,Marketing,High,Female,Medium,AssociateManager,'Sales Executive',VeryHigh,Married,9071,Yes,19,Excellent,High,Level2,15,High,3,2,1,2
31,No,Travel_Rarely,'Research & Development',9,BelowCollege,'Life Sciences',High,Male,High,AssociateManager,'Manufacturing Director',Medium,Divorced,10648,No,25,Outstanding,VeryHigh,Level2,13,VeryHigh,13,8,0,8
33,Yes,Travel_Rarely,'Research & Development',15,BelowCollege,Medical,Medium,Male,High,AssociateManager,Manager,High,Married,13610,Yes,12,Excellent,VeryHigh,Level1,15,VeryHigh,7,6,7,7
33,Yes,Travel_Rarely,'Research & Development',10,BelowCollege,Medical,Low,Male,Low,AssociateProfessional,'Laboratory Technician',VeryHigh,Divorced,3408,No,13,Excellent,Low,Level4,8,High,4,3,1,3
30,No,Travel_Rarely,Sales,7,BelowCollege,Marketing,VeryHigh,Male,High,AssociateProfessional,'Sales Representative',Medium,Single,2983,No,14,Excellent,Low,Level1,4,High,3,2,1,2
35,No,Travel_Rarely,'Research & Development',16,Bachelor,'Life Sciences',VeryHigh,Male,High,AssociateManager,'Healthcare Representative',High,Married,7632,Yes,12,Excellent,High,Level1,10,High,8,7,0,0
31,Yes,Travel_Frequently,'Research & Development',20,Bachelor,'Life Sciences',Low,Male,High,AssociateManager,'Healthcare Representative',High,Married,9824,No,12,Excellent,Low,Level1,12,High,1,0,0,0
34,Yes,Travel_Frequently,'Human Resources',23,Bachelor,'Human Resources',Medium,Female,High,AssociateManager,'Human Resources',Low,Divorced,9950,Yes,15,Excellent,High,Level4,11,High,3,2,0,2
42,No,Travel_Frequently,'Research & Development',5,College,Other,Medium,Male,High,AssociateProfessional,'Laboratory Technician',High,Married,2093,No,17,Excellent,VeryHigh,Level2,8,High,2,2,2,0
36,No,Non-Travel,Sales,10,Master,Medical,Medium,Male,High,AssociateManager,'Sales Executive',VeryHigh,Single,9980,No,14,Excellent,VeryHigh,Level1,10,Medium,10,3,9,7
22,Yes,Travel_Frequently,'Research & Development',4,BelowCollege,'Technical Degree',High,Male,Medium,AssociateProfessional,'Laboratory Technician',High,Single,3894,No,16,Excellent,High,Level1,4,High,2,2,1,2
48,No,Travel_Rarely,Sales,2,Doctor,Marketing,Medium,Female,High,Professional,'Sales Executive',VeryHigh,Married,4051,No,14,Excellent,Low,Level2,14,High,9,7,6,7
55,No,Travel_Rarely,Sales,18,Doctor,'Life Sciences',Low,Female,High,Manager,Manager,Medium,Single,16835,No,23,Outstanding,VeryHigh,Level1,37,High,10,9,7,7
41,No,Non-Travel,Sales,10,College,'Life Sciences',VeryHigh,Male,High,Professional,'Sales Executive',VeryHigh,Single,6230,No,14,Excellent,VeryHigh,Level1,16,High,14,3,1,10
35,No,Travel_Rarely,Sales,1,Bachelor,Marketing,Medium,Male,High,Professional,'Sales Executive',High,Married,4717,No,11,Excellent,High,Level1,15,High,11,9,6,9
40,No,Travel_Rarely,'Research & Development',6,Bachelor,'Life Sciences',Medium,Female,High,Manager,'Manufacturing Director',High,Single,13237,No,15,Excellent,High,Level1,22,High,20,6,5,13
39,No,Travel_Frequently,'Research & Development',8,BelowCollege,'Life Sciences',High,Female,High,AssociateProfessional,'Laboratory Technician',High,Married,3755,No,11,Excellent,Low,Level2,8,High,8,3,0,7
31,No,Travel_Rarely,Sales,2,BelowCollege,'Life Sciences',Medium,Male,High,Professional,'Sales Executive',VeryHigh,Single,6582,Yes,13,Excellent,High,Level1,10,VeryHigh,6,5,0,5
42,No,Travel_Rarely,'Research & Development',24,Bachelor,Medical,VeryHigh,Male,High,AssociateManager,'Manufacturing Director',Low,Married,7406,Yes,21,Outstanding,VeryHigh,Level2,10,Medium,10,9,5,8
45,No,Travel_Rarely,Sales,2,Bachelor,Other,VeryHigh,Male,High,Professional,'Sales Executive',Medium,Married,4805,No,19,Excellent,Medium,Level2,9,VeryHigh,8,7,3,7
26,Yes,Travel_Frequently,'Human Resources',17,Master,'Life Sciences',Medium,Female,High,AssociateProfessional,'Human Resources',High,Divorced,2741,Yes,11,Excellent,Medium,Level2,8,Medium,7,7,1,0
29,No,Travel_Rarely,'Research & Development',19,Bachelor,'Technical Degree',VeryHigh,Male,High,Professional,'Manufacturing Director',VeryHigh,Divorced,4262,No,12,Excellent,Medium,Level3,8,VeryHigh,3,2,1,2
33,No,Travel_Rarely,'Research & Development',1,Doctor,Medical,Low,Female,VeryHigh,Manager,'Research Director',High,Divorced,16184,No,19,Excellent,High,Level2,10,High,6,1,0,5
31,No,Travel_Rarely,Sales,7,Bachelor,'Life Sciences',High,Male,Medium,AssociateManager,Manager,VeryHigh,Divorced,11557,No,21,Outstanding,High,Level2,10,Medium,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,Bachelor,Marketing,Medium,Male,High,AssociateProfessional,'Sales Representative',Medium,Single,1878,Yes,14,Excellent,VeryHigh,Level1,0,High,0,0,0,0
40,No,Non-Travel,Sales,28,Bachelor,Other,High,Male,Low,AssociateManager,'Sales Executive',Low,Divorced,10932,No,15,Excellent,High,Level2,20,High,1,0,0,1
41,No,Non-Travel,'Research & Development',2,Master,Other,Low,Female,Medium,Professional,'Healthcare Representative',High,Single,6811,Yes,17,Excellent,Low,Level1,10,High,8,7,0,7
26,No,Travel_Rarely,Sales,29,College,Medical,Low,Male,High,Professional,'Sales Executive',High,Divorced,4306,No,12,Excellent,Low,Level3,8,High,0,0,0,0
35,No,Travel_Rarely,Sales,1,Bachelor,Medical,Low,Female,High,Professional,'Sales Executive',High,Single,4859,No,16,Excellent,VeryHigh,Level1,5,High,5,4,0,3
34,No,Travel_Rarely,Sales,21,Master,'Life Sciences',VeryHigh,Male,VeryHigh,Professional,'Sales Executive',VeryHigh,Single,5337,No,12,Excellent,VeryHigh,Level1,10,High,10,7,5,7
26,Yes,Travel_Rarely,'Research & Development',24,Bachelor,'Technical Degree',High,Male,Low,AssociateProfessional,'Laboratory Technician',VeryHigh,Single,2340,Yes,18,Excellent,Medium,Level1,1,Low,1,0,0,0
37,No,Travel_Rarely,'Research & Development',1,Bachelor,'Technical Degree',Medium,Female,High,AssociateManager,'Manufacturing Director',VeryHigh,Single,7491,No,17,Excellent,VeryHigh,Level1,12,VeryHigh,6,5,1,2
46,No,Travel_Frequently,'Research & Development',18,BelowCollege,Medical,Low,Female,High,AssociateManager,'Healthcare Representative',High,Married,10527,No,11,Excellent,VeryHigh,Level1,28,Medium,2,2,1,2
41,No,Travel_Rarely,Sales,2,Doctor,'Life Sciences',Medium,Female,High,Manager,Manager,Low,Married,16595,No,16,Excellent,Medium,Level2,22,High,18,16,11,8
37,No,Non-Travel,Sales,9,Master,Medical,Low,Male,High,AssociateManager,'Sales Executive',Medium,Divorced,8834,No,13,Excellent,VeryHigh,Level2,9,High,9,5,7,7
52,No,Travel_Rarely,'Research & Development',6,College,'Technical Degree',VeryHigh,Male,High,Professional,'Research Scientist',Low,Divorced,5577,Yes,12,Excellent,Medium,Level3,18,High,10,9,6,9
32,Yes,Non-Travel,Sales,11,Master,Other,VeryHigh,Male,VeryHigh,Professional,'Sales Executive',High,Married,4707,No,12,Excellent,VeryHigh,Level1,6,High,4,2,1,2
24,No,Travel_Frequently,Sales,24,Bachelor,Medical,VeryHigh,Male,High,AssociateProfessional,'Sales Representative',VeryHigh,Married,2400,No,13,Excellent,High,Level3,3,High,2,2,2,1
38,No,Travel_Rarely,'Research & Development',10,Bachelor,Medical,High,Female,High,Professional,'Healthcare Representative',High,Married,9824,No,19,Excellent,High,Level2,18,High,1,0,0,0
37,No,Travel_Rarely,'Research & Development',1,Master,'Life Sciences',Medium,Female,High,Professional,'Manufacturing Director',Medium,Married,6447,No,12,Excellent,Medium,Level2,8,Medium,6,5,4,3
49,No,Travel_Rarely,'Research & Development',18,Master,'Life Sciences',VeryHigh,Male,Medium,Executive,'Research Director',High,Divorced,19502,Yes,17,Excellent,High,Level2,31,High,31,9,0,9
24,No,Travel_Rarely,'Research & Development',23,Bachelor,Medical,Medium,Male,VeryHigh,AssociateProfessional,'Research Scientist',VeryHigh,Married,2725,Yes,11,Excellent,Medium,Level3,6,High,6,5,1,4
26,No,Travel_Rarely,Sales,28,College,Marketing,Low,Male,High,Professional,'Sales Executive',Medium,Married,6272,No,20,Outstanding,VeryHigh,Level3,6,VeryHigh,5,3,1,4
24,No,Travel_Rarely,'Research & Development',17,College,Other,VeryHigh,Male,Medium,AssociateProfessional,'Laboratory Technician',Medium,Married,2127,No,21,Outstanding,VeryHigh,Level2,1,High,1,0,0,0
50,No,Travel_Frequently,'Human Resources',3,Bachelor,Medical,Low,Male,High,Executive,Manager,Medium,Married,18200,No,11,Excellent,High,Level2,32,High,32,5,10,7
25,No,Travel_Rarely,Sales,13,BelowCollege,Medical,Medium,Male,High,AssociateProfessional,'Sales Representative',High,Married,2096,No,11,Excellent,High,Level1,7,High,7,4,0,6
24,Yes,Travel_Frequently,'Research & Development',7,Bachelor,'Life Sciences',Low,Female,High,AssociateProfessional,'Laboratory Technician',High,Married,2886,Yes,16,Excellent,VeryHigh,Level2,6,High,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,Master,'Life Sciences',Medium,Male,Medium,AssociateProfessional,'Sales Representative',Low,Married,2033,No,18,Excellent,High,Level2,1,VeryHigh,1,0,0,0
34,No,Travel_Rarely,'Research & Development',1,College,'Life Sciences',Medium,Male,Medium,AssociateProfessional,'Research Scientist',VeryHigh,Married,3622,Yes,13,Excellent,VeryHigh,Level2,6,High,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,Master,Medical,Medium,Male,High,Professional,'Sales Executive',Low,Divorced,4233,No,17,Excellent,High,Level1,9,Low,3,1,1,2
35,No,Travel_Rarely,'Research & Development',25,College,Other,Low,Male,Medium,Professional,'Laboratory Technician',VeryHigh,Single,3681,No,14,Excellent,VeryHigh,Level1,9,High,3,2,0,2
31,No,Travel_Rarely,Sales,6,Master,Medical,Low,Male,VeryHigh,Professional,'Sales Executive',VeryHigh,Divorced,5460,No,22,Outstanding,VeryHigh,Level3,13,VeryHigh,7,7,5,7
27,No,Travel_Rarely,'Research & Development',6,Master,Medical,Low,Female,Medium,AssociateProfessional,'Research Scientist',High,Divorced,2187,No,12,Excellent,High,Level3,6,Medium,5,3,0,3
37,No,Travel_Rarely,Sales,2,Bachelor,Marketing,VeryHigh,Male,High,Professional,'Sales Executive',High,Married,9602,Yes,11,Excellent,High,Level2,17,Medium,3,0,1,0
20,No,Travel_Rarely,'Research & Development',1,Bachelor,'Life Sciences',VeryHigh,Female,Medium,AssociateProfessional,'Research Scientist',Medium,Single,2836,No,13,Excellent,VeryHigh,Level1,1,VeryHigh,1,0,0,0
42,No,Travel_Rarely,'Research & Development',2,Master,'Life Sciences',High,Female,High,Professional,'Healthcare Representative',VeryHigh,Married,4089,No,13,Excellent,Medium,Level3,10,High,10,2,2,2
43,No,Travel_Rarely,'Research & Development',6,Master,Other,Medium,Male,Medium,Manager,'Research Director',VeryHigh,Divorced,16627,Yes,14,Excellent,High,Level2,21,Medium,1,0,0,0
38,No,Travel_Rarely,'Research & Development',1,BelowCollege,'Life Sciences',High,Female,High,AssociateProfessional,'Research Scientist',Low,Single,2619,No,17,Excellent,VeryHigh,Level1,8,Medium,0,0,0,0
43,No,Travel_Frequently,'Research & Development',9,Doctor,Medical,VeryHigh,Male,High,Professional,'Laboratory Technician',High,Divorced,5679,Yes,13,Excellent,Medium,Level2,10,High,8,7,4,7
48,No,Travel_Rarely,'Research & Development',1,Master,'Life Sciences',VeryHigh,Female,Medium,Manager,Manager,Low,Married,15402,No,11,Excellent,Low,Level2,21,Low,3,2,0,2
44,No,Travel_Rarely,'Human Resources',1,Master,'Life Sciences',Low,Female,Medium,Professional,'Human Resources',High,Single,5985,No,11,Excellent,Medium,Level1,10,VeryHigh,2,2,0,2
34,No,Travel_Rarely,Sales,14,Bachelor,'Technical Degree',High,Female,High,AssociateProfessional,'Sales Representative',High,Divorced,2579,Yes,18,Excellent,VeryHigh,Level3,8,High,8,2,0,6
27,Yes,Travel_Rarely,Sales,2,BelowCollege,Marketing,High,Male,High,AssociateProfessional,'Sales Representative',Low,Divorced,3041,No,11,Excellent,Medium,Level2,5,High,4,3,0,2
21,No,Travel_Rarely,Sales,22,BelowCollege,'Technical Degree',High,Male,High,AssociateProfessional,'Sales Representative',High,Single,3447,No,11,Excellent,High,Level1,3,High,3,2,1,2
44,No,Travel_Rarely,'Research & Development',3,Master,Other,VeryHigh,Male,High,Executive,Manager,VeryHigh,Married,19513,Yes,12,Excellent,Low,Level2,26,VeryHigh,2,2,0,1
22,No,Travel_Rarely,'Research & Development',6,BelowCollege,Medical,Low,Male,High,AssociateProfessional,'Research Scientist',High,Married,2773,No,20,Outstanding,VeryHigh,Level1,3,High,2,2,2,2
33,No,Travel_Rarely,Sales,8,Master,Marketing,High,Male,High,Professional,'Sales Executive',High,Divorced,7104,No,12,Excellent,VeryHigh,Level1,6,High,5,0,1,2
32,No,Travel_Rarely,'Research & Development',9,Master,'Life Sciences',Low,Female,High,Professional,'Research Scientist',VeryHigh,Married,6322,Yes,12,Excellent,VeryHigh,Level2,6,Medium,6,4,0,5
30,No,Travel_Frequently,'Research & Development',3,Bachelor,Medical,High,Female,High,AssociateProfessional,'Research Scientist',High,Divorced,2083,No,20,Outstanding,High,Level2,1,High,1,0,0,0
53,No,Travel_Rarely,Sales,1,BelowCollege,Medical,VeryHigh,Female,High,Professional,'Sales Executive',Low,Single,8381,No,20,Outstanding,VeryHigh,Level1,18,VeryHigh,14,7,8,10
34,No,Travel_Rarely,'Research & Development',1,Doctor,'Life Sciences',Medium,Male,High,AssociateProfessional,'Research Scientist',VeryHigh,Married,2691,No,12,Excellent,VeryHigh,Level2,10,Medium,10,9,8,8
45,Yes,Travel_Frequently,Sales,26,Master,'Life Sciences',Low,Female,High,Professional,'Sales Executive',Low,Married,4286,No,14,Excellent,VeryHigh,Level3,5,High,1,1,0,0
26,No,Travel_Rarely,'Research & Development',6,Bachelor,'Life Sciences',High,Female,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,2659,Yes,13,Excellent,High,Level2,3,High,3,2,0,2
37,No,Travel_Rarely,'Research & Development',3,Bachelor,Other,High,Male,High,AssociateManager,'Manufacturing Director',High,Married,9434,No,15,Excellent,High,Level2,10,High,10,7,7,8
29,No,Travel_Rarely,Sales,3,College,Medical,Medium,Female,High,Professional,'Sales Executive',High,Married,5561,No,14,Excellent,Low,Level2,6,Medium,6,0,1,2
35,No,Travel_Rarely,'Research & Development',6,Master,'Life Sciences',Medium,Male,Low,Professional,'Research Scientist',VeryHigh,Single,6646,No,13,Excellent,Medium,Level1,17,High,17,11,11,8
33,No,Travel_Frequently,'Research & Development',6,Bachelor,'Life Sciences',High,Male,High,Professional,'Healthcare Representative',VeryHigh,Divorced,7725,No,23,Outstanding,High,Level2,15,Low,13,11,4,7
54,No,Travel_Rarely,'Human Resources',19,Master,Medical,High,Male,High,AssociateManager,'Human Resources',Medium,Married,10725,No,15,Excellent,High,Level2,16,VeryHigh,9,7,7,1
36,No,Travel_Rarely,'Research & Development',9,College,Medical,Medium,Male,Medium,Professional,'Manufacturing Director',Medium,Divorced,8847,Yes,11,Excellent,High,Level2,13,High,3,2,0,2
27,No,Travel_Rarely,'Research & Development',3,Master,Medical,Low,Male,Medium,AssociateProfessional,'Research Scientist',VeryHigh,Single,2045,No,13,Excellent,VeryHigh,Level1,5,High,4,2,1,1
20,Yes,Travel_Rarely,'Research & Development',10,BelowCollege,Medical,VeryHigh,Male,High,AssociateProfessional,'Research Scientist',High,Single,1009,Yes,11,Excellent,VeryHigh,Level1,1,High,1,0,1,1
33,Yes,Travel_Frequently,'Research & Development',3,Bachelor,'Life Sciences',Low,Male,High,AssociateProfessional,'Research Scientist',Low,Single,3348,Yes,11,Excellent,Low,Level1,10,High,10,8,9,7
35,No,Non-Travel,'Research & Development',3,Bachelor,'Life Sciences',High,Male,Medium,AssociateProfessional,'Laboratory Technician',High,Married,1281,No,18,Excellent,High,Level3,1,High,1,0,0,0
23,No,Travel_Rarely,'Research & Development',4,Bachelor,Medical,Low,Male,VeryHigh,AssociateProfessional,'Research Scientist',Low,Married,2819,No,16,Excellent,Low,Level2,5,VeryHigh,3,2,0,2
25,No,Travel_Rarely,Sales,8,Bachelor,'Life Sciences',VeryHigh,Male,VeryHigh,Professional,'Sales Executive',Medium,Married,4851,No,22,Outstanding,High,Level2,4,High,3,2,1,2
38,No,Travel_Rarely,Sales,7,Master,Marketing,VeryHigh,Female,Medium,Professional,'Sales Executive',VeryHigh,Single,4028,No,20,Outstanding,Low,Level1,8,High,7,7,0,5
29,No,Travel_Frequently,'Research & Development',1,Master,'Life Sciences',Medium,Male,Low,AssociateProfessional,'Research Scientist',VeryHigh,Divorced,2720,No,18,Excellent,VeryHigh,Level2,10,High,10,7,2,8
48,No,Travel_Rarely,Sales,2,BelowCollege,Marketing,Medium,Male,VeryHigh,Professional,'Sales Executive',Medium,Married,8120,No,12,Excellent,VeryHigh,Level1,12,High,2,2,2,2
27,No,Travel_Frequently,Sales,3,BelowCollege,Medical,VeryHigh,Female,VeryHigh,Professional,'Sales Executive',VeryHigh,Divorced,4647,Yes,20,Outstanding,Medium,Level3,6,High,6,5,0,4
37,No,Travel_Rarely,'Research & Development',10,College,'Life Sciences',VeryHigh,Male,VeryHigh,AssociateProfessional,'Research Scientist',VeryHigh,Single,4680,No,17,Excellent,Low,Level1,4,High,1,0,0,0
50,No,Travel_Rarely,'Research & Development',28,BelowCollege,Medical,VeryHigh,Male,VeryHigh,AssociateProfessional,'Laboratory Technician',High,Married,3221,Yes,11,Excellent,High,Level4,20,High,20,8,3,8
34,No,Travel_Rarely,'Research & Development',9,Bachelor,Medical,VeryHigh,Female,Medium,AssociateManager,'Healthcare Representative',Medium,Single,8621,No,14,Excellent,Medium,Level1,9,VeryHigh,8,7,7,7
24,Yes,Travel_Rarely,Sales,3,College,'Life Sciences',Low,Female,High,Professional,'Sales Executive',High,Single,4577,No,14,Excellent,Low,Level1,4,High,2,2,2,0
39,No,Travel_Rarely,'Research & Development',2,Master,'Technical Degree',VeryHigh,Female,Medium,Professional,'Healthcare Representative',High,Single,4553,No,11,Excellent,Low,Level1,20,High,20,7,11,10
32,No,Travel_Rarely,Sales,10,Bachelor,Marketing,VeryHigh,Male,High,Professional,'Sales Executive',VeryHigh,Single,5396,No,12,Excellent,VeryHigh,Level1,10,Medium,10,7,0,8
50,Yes,Travel_Frequently,Sales,8,College,'Technical Degree',Medium,Male,High,Professional,'Sales Executive',High,Married,6796,Yes,14,Excellent,Low,Level2,18,High,4,3,1,3
38,No,Travel_Rarely,'Research & Development',1,Master,'Life Sciences',Medium,Female,VeryHigh,Professional,'Healthcare Representative',VeryHigh,Single,7625,No,13,Excellent,High,Level1,10,Medium,9,7,1,8
27,No,Travel_Rarely,'Research & Development',1,College,'Life Sciences',High,Female,High,AssociateManager,'Manufacturing Director',Low,Married,7412,No,11,Excellent,VeryHigh,Level1,9,High,9,7,0,7
32,No,Travel_Rarely,'Research & Development',3,College,'Life Sciences',High,Female,High,AssociateManager,'Research Director',VeryHigh,Single,11159,No,15,Excellent,VeryHigh,Level1,10,High,7,7,7,7
47,No,Travel_Rarely,Sales,14,Master,Marketing,VeryHigh,Male,High,Professional,'Sales Executive',Low,Single,4960,No,12,Excellent,VeryHigh,Level1,20,High,7,7,1,7
